exp_num,network,num_workers,num_envs_per_worker,num_steps,total_steps,total_time,sps,setup_time,experience_collection_time,learning_time
31,small,2,3,256,15360,11.63256049156189,1320,0.07792997360229492,7.216545104980469,4.4159581661224365
32,small,2,4,32,8192,7.218875408172607,1134,0.0849912166595459,4.910392761230469,2.308332681655884
33,small,2,4,64,8192,6.68125319480896,1226,0.0944209098815918,4.6979734897613525,1.9832029342651367
34,small,2,4,128,10240,7.233510494232178,1415,0.0761559009552002,4.972063302993774,2.261395215988159
35,small,2,4,256,20480,11.15419340133667,1836,0.0825202465057373,6.86883807182312,4.285307884216309
36,small,2,8,32,8192,4.756036281585693,1722,0.07567191123962402,3.641864538192749,1.1140997409820557
37,small,2,8,64,10240,5.327985763549805,1921,0.07026863098144531,4.093599319458008,1.234337329864502
38,small,2,8,128,20480,8.866258382797241,2309,0.08060765266418457,6.426229476928711,2.4399702548980713
39,small,2,8,256,40960,14.034146785736084,2918,0.09740877151489258,9.49473237991333,4.539355278015137
40,medium,1,1,32,8192,30.675605058670044,267,0.07060551643371582,11.680773258209229,18.993730545043945
41,medium,1,1,64,8192,27.736927032470703,295,0.06131434440612793,11.599369287490845,16.13700771331787
42,medium,1,1,128,8192,26.48224949836731,309,0.05101966857910156,11.489341735839844,14.992602348327637
43,medium,1,1,256,8192,26.239920139312744,312,0.04192352294921875,11.465594053268433,14.774172067642212
44,medium,1,2,32,8192,16.56190776824951,494,0.04851531982421875,7.254745244979858,9.306658744812012
45,medium,1,2,64,8192,15.093705654144287,542,0.04264664649963379,7.075520277023315,8.017899990081787
46,medium,1,2,128,8192,14.072011232376099,582,0.04802131652832031,6.814206600189209,7.257667303085327
47,medium,1,2,256,8192,13.795451164245605,593,0.04869246482849121,6.888563632965088,6.906817674636841
48,medium,1,3,32,8160,11.794646978378296,691,0.04812502861022949,5.64428973197937,6.150004148483276
49,medium,1,3,64,8064,10.522011518478394,766,0.043486595153808594,5.350861310958862,5.1709747314453125
50,medium,1,3,128,8064,10.053094387054443,802,0.04210352897644043,5.341744422912598,4.711261749267578
